"Deployment","DataDT","Wet","Forage","X_AED170_70","Y_AED170_70"
353,2009/09/15 4:00:00,1,0,281017,22532
353,2009/09/15 5:00:00,0,0,281399,22392
353,2009/09/15 6:00:00,0,0,281209,22218
353,2009/09/15 7:00:00,0,0,281376,22175
353,2009/09/15 8:00:00,0,0,281543,22132
353,2009/09/15 9:00:00,0,0,281710,22089
353,2009/09/15 10:00:00,0,0,281877,22046
353,2009/09/15 11:00:00,0,0,282044,22003
353,2009/09/15 12:00:00,0,0,282211,21961
353,2009/09/15 13:00:00,0,0,282378,21918
353,2009/09/15 14:00:00,0,0,282545,21876
353,2009/09/15 15:00:00,0,0,282712,21833
353,2009/09/15 16:00:00,1,0,282879,21791
353,2009/09/15 17:00:00,0,0,283289,21686
353,2009/09/15 18:00:00,0,0,281869,21557
353,2009/09/15 19:00:00,0,0,281536,21790
353,2009/09/15 20:00:00,0,0,281586,22248
353,2009/09/15 21:00:00,0,0,281664,22242
353,2009/09/15 22:00:00,0,0,281683,22314
353,2009/09/15 23:00:00,0,0,281735,22154
353,2009/09/16 0:00:00,0,0,281916,21930
353,2009/09/16 1:00:00,0,0,281626,21948
353,2009/09/16 2:00:00,0,0,281346,22085
353,2009/09/16 3:00:00,0,0,281520,22211
353,2009/09/16 4:00:00,0,0,281692,22255
353,2009/09/16 18:00:00,1,0,282374,22982
353,2009/09/16 19:00:00,1,0,282423,23034
353,2009/09/16 20:00:00,1,0,282472,23086
353,2009/09/16 21:00:00,1,0,282521,23138
353,2009/09/16 22:00:00,1,0,282570,23190
353,2009/09/16 23:00:00,1,0,282619,23242
353,2009/09/17 0:00:00,1,0,282668,23294
353,2009/09/17 1:00:00,1,0,282716,23346
353,2009/09/17 2:00:00,1,0,282765,23398
353,2009/09/17 3:00:00,1,0,282813,23450
353,2009/09/17 4:00:00,1,0,282907,23551
353,2009/09/25 16:00:00,1,0,158746,-114517
353,2009/09/25 17:00:00,1,0,158137,-115194
353,2009/09/25 18:00:00,1,0,157528,-115871
353,2009/09/25 19:00:00,1,0,156919,-116548
353,2009/09/25 20:00:00,1,0,156311,-117225
353,2009/09/25 21:00:00,1,0,155702,-117902
353,2009/09/25 22:00:00,1,0,155094,-118578
353,2009/09/25 23:00:00,1,0,153589,-120251
353,2009/09/26 0:00:00,1,0,153854,-120197
353,2009/09/26 1:00:00,0,0,153848,-119632
353,2009/09/26 2:00:00,0,0,153898,-119710
353,2009/09/26 3:00:00,0,0,153758,-120213
353,2009/09/26 4:00:00,0,0,153877,-120345
353,2009/09/26 5:00:00,0,0,155133,-119818
353,2009/09/26 6:00:00,0,0,156683,-118826
353,2009/09/26 7:00:00,0,0,156702,-118816
353,2009/09/26 8:00:00,0,0,156721,-118806
353,2009/09/26 9:00:00,0,0,156740,-118796
353,2009/09/26 10:00:00,0,0,156759,-118785
353,2009/09/26 11:00:00,0,0,156778,-118775
353,2009/09/26 12:00:00,0,0,156797,-118764
353,2009/09/26 13:00:00,0,0,156816,-118754
353,2009/09/26 14:00:00,0,0,156835,-118743
353,2009/09/26 15:00:00,0,0,156854,-118733
353,2009/09/26 16:00:00,0,0,156874,-118722
353,2009/09/26 17:00:00,0,0,154900,-118994
353,2009/09/26 18:00:00,0,0,154992,-120125
353,2009/09/26 19:00:00,0,0,154463,-120904
353,2009/09/26 20:00:00,0,0,153975,-120190
353,2009/09/26 21:00:00,0,0,153709,-120244
353,2009/09/26 22:00:00,0,0,153211,-120958
353,2009/09/26 23:00:00,0,0,152080,-122581
353,2009/09/27 0:00:00,0,0,152080,-122581
353,2009/09/27 1:00:00,0,0,152176,-122462
353,2009/09/27 2:00:00,0,0,152272,-122343
353,2009/09/27 3:00:00,0,0,152368,-122224
353,2009/09/27 4:00:00,0,0,152464,-122105
353,2009/09/27 5:00:00,0,0,152560,-121986
353,2009/09/27 6:00:00,0,0,152656,-121867
353,2009/09/27 7:00:00,0,0,152752,-121748
353,2009/09/27 8:00:00,0,0,152848,-121629
353,2009/09/27 9:00:00,0,0,152944,-121510
353,2009/09/27 10:00:00,0,0,153040,-121391
353,2009/09/27 11:00:00,0,0,153135,-121272
353,2009/09/27 12:00:00,0,0,153231,-121152
353,2009/09/27 13:00:00,0,0,153326,-121033
353,2009/09/27 14:00:00,0,0,153422,-120913
353,2009/09/27 15:00:00,0,0,153517,-120794
353,2009/09/27 16:00:00,0,0,153613,-120674
353,2009/09/27 17:00:00,0,0,153708,-120555
353,2009/09/27 18:00:00,0,0,153804,-120435
353,2009/09/27 19:00:00,0,0,153899,-120316
353,2009/09/27 20:00:00,0,0,153994,-120114
353,2009/09/27 21:00:00,0,0,154010,-120113
353,2009/09/27 22:00:00,0,0,154124,-120311
353,2009/09/27 23:00:00,0,0,154110,-120299
353,2009/09/28 0:00:00,0,0,153985,-120137
353,2009/09/28 1:00:00,0,0,153963,-120049
353,2009/09/28 2:00:00,0,0,153988,-120031
353,2009/09/28 3:00:00,0,0,153957,-120172
353,2009/09/28 4:00:00,0,0,154006,-120151
353,2009/09/28 5:00:00,0,0,154015,-120141
353,2009/09/28 6:00:00,0,0,153910,-120231
353,2009/09/28 7:00:00,0,0,153916,-120231
353,2009/09/28 8:00:00,0,0,153922,-120231
353,2009/09/28 9:00:00,0,0,153928,-120231
353,2009/09/28 10:00:00,0,0,153934,-120231
353,2009/09/28 11:00:00,0,0,153940,-120230
353,2009/09/28 12:00:00,0,0,153946,-120230
353,2009/09/28 13:00:00,0,0,153952,-120229
353,2009/09/28 14:00:00,0,0,153959,-120229
353,2009/09/28 15:00:00,0,0,153965,-120228
353,2009/09/28 16:00:00,0,0,153972,-120228
353,2009/09/28 17:00:00,0,0,153978,-120227
353,2009/09/28 18:00:00,0,0,154002,-120253
353,2009/09/28 19:00:00,0,0,153985,-120271
353,2009/09/28 20:00:00,0,0,153987,-120282
353,2009/09/28 21:00:00,0,0,153994,-120282
353,2009/09/28 22:00:00,0,0,153954,-120296
353,2009/09/28 23:00:00,0,0,153977,-120272
353,2009/09/29 0:00:00,0,0,154004,-120281
353,2009/09/29 1:00:00,0,0,154082,-120183
353,2009/09/29 2:00:00,0,0,154044,-120159
353,2009/09/29 3:00:00,0,0,154005,-120141
353,2009/09/29 4:00:00,0,0,154052,-120129
353,2009/09/29 5:00:00,0,0,154015,-120141
353,2009/09/29 6:00:00,0,0,154019,-120147
353,2009/09/29 7:00:00,0,0,154023,-120153
353,2009/09/29 8:00:00,0,0,154027,-120159
353,2009/09/29 9:00:00,0,0,154031,-120165
353,2009/09/29 10:00:00,0,0,154035,-120171
353,2009/09/29 11:00:00,0,0,154039,-120177
353,2009/09/29 12:00:00,0,0,154043,-120183
353,2009/09/29 13:00:00,0,0,154047,-120189
353,2009/09/29 14:00:00,0,0,154051,-120195
353,2009/09/29 15:00:00,0,0,154055,-120201
353,2009/09/29 16:00:00,0,0,154059,-120206
353,2009/09/29 17:00:00,0,0,154063,-120212
353,2009/09/29 18:00:00,0,0,154000,-120248
353,2009/09/29 19:00:00,0,0,153998,-120268
353,2009/09/29 20:00:00,0,0,153947,-120296
353,2009/09/29 21:00:00,0,0,153937,-120341
353,2009/09/29 22:00:00,0,0,154002,-120404
353,2009/09/29 23:00:00,0,0,154001,-120282
353,2009/09/30 0:00:00,0,0,153980,-120213
353,2009/09/30 1:00:00,0,0,154005,-120203
353,2009/09/30 2:00:00,0,0,154010,-120225
353,2009/09/30 3:00:00,0,0,153990,-120226
353,2009/09/30 4:00:00,0,0,153924,-120320
353,2009/09/30 5:00:00,0,0,153907,-120343
353,2009/09/30 6:00:00,0,0,153919,-120334
353,2009/09/30 7:00:00,0,0,153931,-120325
353,2009/09/30 8:00:00,0,0,153943,-120316
353,2009/09/30 9:00:00,0,0,153955,-120307
353,2009/09/30 10:00:00,0,0,153967,-120298
353,2009/09/30 11:00:00,0,0,153979,-120289
353,2009/09/30 12:00:00,0,0,153992,-120280
353,2009/09/30 13:00:00,0,0,154004,-120271
353,2009/09/30 14:00:00,0,0,154017,-120262
353,2009/09/30 15:00:00,0,0,154029,-120253
353,2009/09/30 16:00:00,1,0,154042,-120243
353,2009/09/30 17:00:00,1,0,153974,-120283
353,2009/09/30 18:00:00,1,0,154157,-120467
353,2009/09/30 19:00:00,1,0,154340,-120651
354,2009/09/16 4:00:00,0,0,267900,-9078
354,2009/09/16 5:00:00,0,0,268048,-9006
354,2009/09/16 6:00:00,0,0,267623,-9063
354,2009/09/16 7:00:00,0,0,267198,-9120
354,2009/09/16 8:00:00,0,0,266773,-9177
354,2009/09/16 9:00:00,0,0,266348,-9234
354,2009/09/16 10:00:00,0,0,265923,-9290
354,2009/09/16 11:00:00,0,0,265498,-9347
354,2009/09/16 12:00:00,0,0,265073,-9403
354,2009/09/16 13:00:00,0,0,264648,-9460
354,2009/09/16 14:00:00,0,0,264223,-9516
354,2009/09/16 15:00:00,0,0,263799,-9573
354,2009/09/16 16:00:00,1,0,263374,-9629
354,2009/09/16 17:00:00,1,0,262424,-9756
354,2009/09/16 18:00:00,1,0,261075,-10266
